,Company,Client,Location,Date,Contract
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250101.png,"House, St.. Johns Road, Meadowfield Co. Durham, DH7 8TZ TEL: 0191 375! 5808 FAX: 01913783762 E-Mail: enguinies@dumelm.cauk  Record of Borehole RBHC  Dunelma Job No. : C10452 Site Name : Leeds Unviversity  Easting Northing Ground level 84.50 Final depth 30.00 Strata  Start date 09/05/2000 End date 09/05/2000 Backfill date 09/05/0200 Page  of 2  Coring Details Ave FI ndx %  Core Core run ref",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250115.png,"Dunelm  Bleach Green, Hetton le Hole, Tyne & Wear, DH5 9HH TEL: 0191526 2534 FAX:01915170085 E-Mail: enquinies@dunelm.cauk  Record of Borehole TP14  & Environmental  Easting Northing Ground level 84.90 Final depth 1.95  Start date 09/05/2000 End date 09/05/2000 Backfill date 09/05/0200 Page  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of 1 Level Inst/ Back fill 84.65 83.95 83.15 82.95",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250112.png,"Dunelm  Bleach Green, Hetton le Hole, Tyne & Wear, DH59HH TEL: 0191 526 2534 FAX:01915170085 E-Mail: enquiries@duneim.cauk  Record of Borehole TP11  & Environmental  Easting Northing Ground level 84.70 Final depth 1.70  Start date 09/05/2000 End date 09/05/2000 Backfill date Page  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of 1 Level Inst/ Back fill 84.35 83.35 83.15 83.00",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250114.png,"Dunelm  Bleach Green, Hetton le Hole, Tyne & Wear, DHS 9HH TEL: 01915262534 FAX: 01915170085 E-Mail: enquiriew@dunelm.cauk  Record of Borehole Easting Northing Ground level 83.80 Final depth 1.95  TP13 Start date 09/05/2000 End date 09/05/2000 Backfill date 09/05/0200 Page  & Environmental  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of Level Inst/ Back fill 83.30 82.20 82.00 81.85  Samples & Testing Cu kN/m2",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250108.png,"Dunelm Geotechnical & Environmental  Bleach Green, Hetton le Hole, Tyne & Wear, DH5 9HH TEL: 0191 5262534 FAX:01915170085 E-Mail: enquirie@duneim.cauk  Record of Borehole TP7  Easting Northing Ground level 83.70 Final depth 3.50  Start date 09/05/2000 End date 09/05/2000 Backfill date Page  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of 1 Level Inst/ Back fill 83.40 82.80 81.85 81.40  Samples & Testing Cu kN/m2",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250106.png,"Dunelm Geotechnical & Environmental  Bleach Green, Hetton le Hole, Tyne & Wear, DHS 9HH TEL: 0191 526 2534 FAX: 0191 5170085 E-Mail: enquirfis@dumeim.co.uk  Record of Borehole Easting Northing Ground level 84.60 Final depth 2.20  TP5 Start date 09/05/2000 End date 09/05/2000 Backfill date 09/05/0200 Page  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of 1 Level Inst/ Back fill 84.40 84.20 84.05 83.80 83.20 82.40  Samples & Testing Cu kN/m2  Depths From To 0.40 0.60 B 0.80 1.40 B",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20191501.png,"CLIENT DATE Drilling & 1TTH  JOB NO BORING METHOD CABLE PERCUSSIVE SPT N - value or  LOCATION  BOREHOLE NO BH1A Sheet: 1 LEVEL LEGEND DEPTH 0.0 0.10-  ROBINSON CONSULTINGS ENG. C10243 OCTOBER 1999 1to 50 Progress Casing Type & No. Depth(M) B1 83  PORTLAND CRESCENT, LEEDS  SCALE SAMPLE/TEST  OD",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250113.png,"Dunelm Geotechnical & Environmental  Bleach Green, Hetton le Hole, Tyne & Wear, DHS 9HH TEL: 01915262534 FAX: 0191517 0085 E-Mail: enquinies@dmmelm.ca.nk  Record of Borehole TP12  Easting Northing Ground level 84.20 Final depth 1.45  Start date 09/05/2000 End date 09/05/2000 Backfill date 09/05/0200 Page  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  1 of 1 Level Inst/ Back fill 84.05 83.80 83.65 -83.15 82.95 82.75  Samples & Testing Cu kN/m2",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250109.png,"Dunelm  Bleach Green, Hetton le Hole, Tyne & Wear, DH5 9HH TEL: 0191 5262534 FAX:01915170085 E-Mail: enquiries@dunetm.cauk  Record of Borehole Easting Northing Ground level 84.30 Final depth 2.20  TP8 Start date 09/05/2000 End date 09/05/2000 Backfill date Page  & Environmental  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of 1 Level Inst/ Back fill 84.05 83.70 83.40 82.70 82.40 82.10  Samples & Testing Cu kN/m2",,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18911618.png,CLIENT BLAND & SWIFT DATE MARCH 1996 Drilling & Casing Typa & No. Dapth(M) Frogress 13TH  JOB NO C8389 BORING METHOD CABLE SPT N value or COHESION  LOCATION  NO BH1 Sheet: 1 0.0  HIGH VOLTAGE LAB.- LEDS UNI.  SCALE 1to 50 SAMPLE/TEST  OD  LEVEL LEGEND DEPTH,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726313.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Casing Typa & No. Dapth(M) Progreas 1TTH  JOB NO C 7796 BORING METHOD SPT N - value or COHESION  LOCATION  BOREHOLE NO TP 4 Shest: 1 0.0  EDWARD BOYLE LIB. - LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  OD,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726318.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Casing Typa & No. Dapth(M) Progress 1TTH  JOB NO C - 7796 BORING METHOD SPT N - value or COHESION  LOCATION  BOREHOLE NO TP10 Sheet:  EDWARD BOYLE LIB. - LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  1 0.0,,,,
